,raised_amount_usd,participants,is_first_round,round_companies,round_funds,round_angels,total_companies,total_funds,total_angels,total_raised,unique_investor,mapped_code,years_since,target
0,,0,1,0,0,0,0,0,0,,,4,-12874.0,1
1,861030.0,0,1,0,0,0,0,0,0,861030.0,,11,,0
2,,0,1,0,0,0,0,0,0,,,3,-584.0,0
3,,1,1,1,0,0,1,0,0,,1.0,3,-12692.0,0
4,,0,1,0,0,0,0,0,0,,,2,-4080.0,0
5,100000.0,0,1,0,0,0,0,0,0,100000.0,,3,-224.0,0
6,41000.0,0,1,0,0,0,0,0,0,41000.0,,3,-10209.0,0
7,,0,1,0,0,0,0,0,0,,,2,3818.0,0
8,,0,1,0,0,0,0,0,0,,,2,358.0,0
9,2500000.0,1,1,0,1,0,0,1,0,2500000.0,1.0,4,1096.0,1
10,,2,1,1,1,0,1,1,0,,2.0,7,,0
11,15000.0,0,1,0,0,0,0,0,0,15000.0,,3,,0
12,,1,1,0,0,1,0,0,1,,1.0,3,0.0,0
13,125000.0,0,1,0,0,0,0,0,0,125000.0,,3,-4.0,0
14,2000000.0,1,0,0,1,0,0,1,0,2000000.0,1.0,4,-365.0,1
15,500000.0,0,0,0,0,0,0,0,0,500000.0,,3,1171.0,0
16,2000000.0,1,0,0,1,0,0,1,0,2000000.0,1.0,4,455.0,1
17,,0,1,0,0,0,0,0,0,,,6,362.0,1
18,8000000.0,1,1,0,1,0,0,1,0,8000000.0,1.0,4,546.0,1
19,4800000.0,3,1,2,1,0,2,2,0,6800000.0,3.0,5,698.0,1
20,,1,0,0,1,0,0,1,0,,1.0,3,-91.0,1
21,8000000.0,1,0,0,1,0,0,2,0,10000000.0,1.0,5,0.0,1
22,3930000.0,1,0,0,1,0,0,1,0,3930000.0,1.0,4,,1
23,1600000.0,1,0,1,0,0,1,0,0,1600000.0,1.0,4,0.0,1
24,,1,0,0,1,0,0,1,0,,1.0,4,1461.0,1
25,,0,1,0,0,0,0,0,0,,,2,0.0,0
26,12500.0,0,0,0,0,0,0,0,0,12500.0,,3,0.0,0
27,5000000.0,2,0,0,2,0,0,4,0,15000000.0,2.0,6,366.0,1
28,100000.0,0,1,0,0,0,0,0,0,100000.0,,3,1.0,0
29,2520000.0,1,0,0,1,0,0,2,0,6450000.0,1.0,5,,1
30,41000000.0,1,1,0,1,0,0,1,0,41000000.0,1.0,4,59.0,1
31,2000000.0,0,0,0,0,0,0,0,0,2000000.0,,7,-3530.0,0
32,3300000.0,3,0,0,2,1,0,2,1,3300000.0,3.0,4,558.0,0
33,4000000.0,0,1,0,0,0,0,0,0,4000000.0,,4,668.0,0
34,10000000.0,0,0,0,0,0,0,0,0,10000000.0,,4,,1
35,,0,0,0,0,0,0,0,0,,,3,549.0,0
36,,1,0,0,1,0,0,1,0,,1.0,3,0.0,0
37,,1,1,0,0,1,0,0,1,,1.0,3,,1
38,,1,1,0,0,1,0,0,1,,1.0,3,-243.0,0
39,1500000.0,3,1,0,1,2,0,1,2,1500000.0,3.0,4,,0
40,100000.0,0,1,0,0,0,0,0,0,100000.0,,3,-331.0,0
41,100000.0,0,1,0,0,0,0,0,0,100000.0,,3,0.0,0
42,200000.0,0,1,0,0,0,0,0,0,200000.0,,3,0.0,0
43,25000000.0,2,1,1,1,0,1,5,0,40000000.0,2.0,7,731.0,1
44,1986990.0,0,0,0,0,0,0,0,0,1986990.0,,3,31.0,0
45,12000000.0,3,1,0,2,1,0,2,1,12000000.0,3.0,4,-1208.0,1
46,,0,0,0,0,0,0,0,0,,,4,51.0,1
47,3000000.0,1,0,0,1,0,1,1,0,4600000.0,1.0,5,821.0,1
48,15800000.0,4,0,2,2,0,2,2,0,15800000.0,4.0,5,485.0,1
49,,1,1,0,1,0,0,1,0,,1.0,4,,0
50,,0,1,0,0,0,0,0,0,,,5,149.0,1
51,,0,0,0,0,0,0,0,0,,,12,,0
52,20000000.0,0,0,0,0,0,0,0,0,21986990.0,,4,211.0,0
53,100000.0,1,0,0,0,1,0,0,1,100000.0,1.0,2,-37.0,1
54,,3,1,1,1,1,1,1,1,,3.0,9,,0
55,,0,0,0,0,0,0,0,0,,,4,33.0,0
56,,1,1,0,1,0,0,1,0,,1.0,4,258.0,1
57,3000000.0,1,0,0,1,0,0,1,0,3000000.0,1.0,4,1004.0,1
58,,0,0,0,0,0,0,0,0,,,4,364.0,1
59,55350000.0,0,1,0,0,0,0,0,0,77336990.0,,5,334.0,0
60,2000.0,2,1,0,0,2,0,0,2,2000.0,2.0,3,5.0,0
61,,1,0,0,1,0,0,1,0,,1.0,4,730.0,0
62,3000000.0,2,1,0,0,2,0,0,2,3000000.0,2.0,4,,0
63,150000.0,2,0,0,1,1,0,1,1,150000.0,2.0,4,0.0,1
64,4000000.0,3,0,0,0,3,0,0,3,4000000.0,3.0,3,0.0,1
65,,4,1,0,4,0,0,4,0,,4.0,4,730.0,1
66,100000.0,1,0,0,1,0,0,1,0,100000.0,1.0,13,-334.0,0
67,3000000.0,2,1,0,2,0,0,2,0,3000000.0,2.0,4,0.0,1
68,300000.0,2,0,0,0,2,0,0,2,300000.0,2.0,4,-2677.0,1
69,,3,0,0,0,3,0,0,3,,3.0,4,31.0,1
70,200000.0,0,0,0,0,0,0,0,0,200000.0,,2,53.0,1
71,3072680.0,0,0,0,0,0,0,0,0,3072680.0,,3,0.0,0
72,,1,1,1,0,0,1,0,0,,1.0,3,0.0,0
73,,1,0,1,0,0,1,0,0,,1.0,3,0.0,1
74,,1,1,0,0,1,0,0,1,,1.0,2,0.0,0
75,7000000.0,0,0,0,0,0,0,0,0,7000000.0,,4,0.0,1
76,115200.0,0,1,0,0,0,0,0,0,115200.0,,3,11.0,0
77,1500000.0,1,0,0,1,0,0,3,0,7950000.0,1.0,6,,1
78,25000000.0,2,1,0,2,0,0,3,0,,2.0,4,1064.0,1
79,2700000.0,3,0,0,3,0,0,3,0,2700000.0,3.0,4,424.0,1
80,750000.0,4,1,0,2,2,0,2,2,750000.0,4.0,2,,1
81,2700000.0,3,0,0,3,0,0,6,0,5400000.0,3.0,4,424.0,1
82,7500000.0,2,0,1,1,0,1,3,1,10800000.0,2.0,5,1034.0,0
83,300000.0,0,1,0,0,0,0,0,0,300000.0,,3,25.0,0
84,,0,0,0,0,0,0,0,0,,,5,485.0,1
85,1360000.0,5,0,0,0,5,0,0,7,1660000.0,5.0,5,-2587.0,1
86,16000000.0,8,0,0,8,0,0,8,0,16000000.0,8.0,5,396.0,0
87,2000000.0,2,1,0,2,0,0,2,0,2000000.0,2.0,3,33.0,0
88,15000000.0,1,1,1,0,0,2,1,0,19600000.0,1.0,6,1200.0,1
89,1500000.0,1,1,0,1,0,0,2,0,4500000.0,1.0,5,1216.0,1
90,2000000.0,2,0,0,2,0,0,2,0,2000000.0,2.0,4,303.0,1
91,6000000.0,3,1,0,1,2,0,1,2,6000000.0,3.0,4,151.0,1
92,250000.0,1,1,0,0,1,0,0,1,250000.0,1.0,2,0.0,1
93,25000000.0,2,1,0,2,0,0,2,1,25100000.0,2.0,4,273.0,1
94,513200.0,0,0,0,0,0,0,0,0,513200.0,,3,911.0,0
95,4000000.0,1,0,0,1,0,0,1,3,,1.0,5,212.0,1
96,30000000.0,1,0,0,1,0,0,1,0,30000000.0,1.0,12,917.0,1
97,2000000.0,0,0,0,0,0,0,0,0,2000000.0,,4,0.0,0
98,26000000.0,2,1,0,2,0,0,2,0,26000000.0,2.0,13,578.0,1
99,1672640.0,2,0,0,2,0,0,2,0,1672640.0,2.0,4,0.0,1
100,33200000.0,4,0,2,2,0,2,2,0,33200000.0,4.0,5,6087.0,1
101,200000.0,1,0,0,1,0,0,1,0,200000.0,1.0,4,31.0,1
102,2750000.0,3,0,0,3,0,0,3,7,4410000.0,3.0,6,-2434.0,1
103,15352300.0,0,0,0,0,0,0,0,0,15352300.0,,11,-2678.0,1
